Election for,West Dunbartonshire 2022 - Ward 6 - Clydebank Waterfront,,,,,,,,,,,
Date,09 Mar 2025,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,
Valid votes,4696,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,940,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,James MCELHILL (SNP),,Daniel LENNIE (Lab),,Lauren OXLEY (SNP),,Brian Michael LALLY (ScFam),,Holly MOSCROP (C),,
James MCELHILL (SNP),1493,-553,940,,940,,940,,940,,940,Elected
Daniel LENNIE (Lab),1217,,1217,-277,940,,940,,940,,940,Elected
Lauren OXLEY (SNP),767,412.98485,1179.98485,,1179.98485,-239.98485,940,,940,,940,Elected
June MCKAY (Lab),540,31.48315,571.48315,239.8904,811.37355,10.68064,822.05419,45.94931,868.0035,225.55413,1093.55763,Elected
Holly MOSCROP (C),362,5.18546,367.18546,7.0556,374.24106,2.31239,376.55345,27.37039,403.92384,-403.92384,-,
Jacob TOLAND (SNP),196,59.63279,255.63279,3.8692,259.50199,215.62259,475.12458,18.06317,493.18775,7.69439,500.88214,
Brian Michael LALLY (ScFam),121,4.44468,125.44468,4.0968,129.54148,1.06203,130.60351,-130.60351,-,,-,
Non-transferable, ,39.26907,39.26907,22.088,61.35707,10.3072,71.66427,39.22064,110.88491,170.67532,281.56023,
Totals,4696,,4696,,4696,,4696,,4696,,4696,
 ,,,,,,,,,,,,
