Election for,West Lothian 2022 - Ward 1 - Linlithgow,,,,,,,,,
Date,15 Oct 2024,,,,,,,,,
Number to be elected,3,,,,,,,,,
Valid votes,7117,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1780,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Surplus of,,
Candidates,Preferences,Pauline ORR (SNP),,Rik SMITH (ScFam),,Pamela BARNES (Grn),,Sally PATTLE (LD),,
Pauline ORR (SNP),1869,-89,1780,,1780,,1780,,1780,Elected
Sally PATTLE (LD),1447,10.09332,1457.09332,9.14283,1466.23615,434.71149,1900.94764,-120.94764,1780,Elected
Chris HORNE (C),1411,1.71396,1412.71396,32.23805,1444.95201,38.85698,1483.80899,23.84824,1507.65723,
Tom CONN (Lab),1391,14.61627,1405.61627,7.33327,1412.94954,319.56942,1732.51896,55.96206,1788.48102,Elected
Pamela BARNES (Grn),941,46.70541,987.70541,4.4761,992.18151,-992.18151,-,,-,
Rik SMITH (ScFam),58,1.33308,59.33308,-59.33308,-,,-,,-,
Non-transferable, ,14.53796,14.53796,6.14283,20.68079,199.04362,219.72441,41.13734,260.86175,
Totals,7117,,7117,,7117,,7117,,7117,
 ,,,,,,,,,,
