Election for,"West Lothian 2022 - Ward 2 - Broxburn, Uphall and Winchburgh",,,,,,,,,,,,,,,,,
Date,15 Oct 2024,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,
Valid votes,6853,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,
Quota,1371,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Diane CALDER (SNP),,Janet CAMPBELL (SNP),,Kenneth Alexander SUTHERLAND (ScFam),,Phil NOBLE (Alba),,Charles McKenzie CORSER (LD),,Ann DAVIDSON (Lab),,Cam WRIGHT (Grn),,Hazel MCLEOD (Lab),,
Diane CALDER (SNP),1990,-619,1371,,1371,,1371,,1371,,1371,,1371,,1371,,1371,Elected
Ann DAVIDSON (Lab),1305,15.86355,1320.86355,8.09041,1328.95396,7.06814,1336.0221,8.53435,1344.55645,85.22212,1429.77857,-58.77857,1371,,1371,,1371,Elected
Angela DORAN-TIMSON (C),1215,5.28785,1220.28785,1.39735,1221.6852,17,1238.6852,13.01059,1251.69579,47.71142,1299.40721,5.26489,1304.6721,23.61444,1328.28654,282.32109,1610.60763,Elected
Janet CAMPBELL (SNP),880,539.3607,1419.3607,-48.3607,1371,,1371,,1371,,1371,,1371,,1371,,1371,Elected
Hazel MCLEOD (Lab),724,8.39835,732.39835,2.39233,734.79068,10.03407,744.82475,7.18094,752.00569,20.65903,772.66472,46.63253,819.29725,161.86386,981.16111,-981.16111,-,
Cam WRIGHT (Grn),298,19.2851,317.2851,15.0303,332.3154,12.67063,344.98603,37.94461,382.93064,64.54689,447.47753,1.30332,448.78085,-448.78085,-,,-,
Charles McKenzie CORSER (LD),255,5.5989,260.5989,3.11748,263.71638,11.37919,275.09557,11.46621,286.56178,-286.56178,-,,-,,-,,-,
Phil NOBLE (Alba),95,4.9768,99.9768,3.08159,103.05839,12.05295,115.11134,-115.11134,-,,-,,-,,-,,-,
Kenneth Alexander SUTHERLAND (ScFam),91,1.2442,92.2442,1.06125,93.30545,-93.30545,-,,-,,-,,-,,-,,-,
Non-transferable, ,18.98455,18.98455,14.18999,33.17454,23.10047,56.27501,36.97464,93.24965,68.42232,161.67197,5.57783,167.2498,263.30255,430.55235,698.84002,1129.39237,
Totals,6853,,6853,,6853,,6853,,6853,,6853,,6853,,6853,,6853,
 ,,,,,,,,,,,,,,,,,,
