Election for,West Lothian 2022 - Ward 4 - Livingston South,,,,,,,,,,,,,,,,,,,
Date,15 Oct 2024,,,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,,,
Valid votes,7566,,,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,,,
Quota,1514,,,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,Stage,10,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Maria MACAULAY (SNP),,Lawrence FITZPATRICK (Lab),,Margaret HAMILTON (ScFam),,Caron LINDSAY (LD),,Eddie MILLAR (Ind),,Cameron GLASGOW (Grn),,Moira MCKEE SHEMILT (SNP),,Eddie ANDERSON (Ind),,Craig SMITH (Lab),,
Maria MACAULAY (SNP),2252,-738,1514,,1514,,1514,,1514,,1514,,1514,,1514,,1514,,1514,Elected
Lawrence FITZPATRICK (Lab),2028,,2028,-514,1514,,1514,,1514,,1514,,1514,,1514,,1514,,1514,Elected
Peter HEGGIE (C),884,3.9324,887.9324,57.7866,945.719,7.8346,953.5536,30.11565,983.66925,29.5069,1013.17615,18.42955,1031.6057,2.25618,1033.86188,100.37689,1134.23877,250.69103,1384.9298,Elected
Moira MCKEE SHEMILT (SNP),698,646.2244,1344.2244,29.9071,1374.1315,11.3277,1385.4592,17.07115,1402.53035,56.03735,1458.5677,172.8995,1631.4672,-117.4672,1514,,1514,,1514,Elected
Craig SMITH (Lab),422,7.8648,429.8648,305.6607,735.5255,9.76035,745.28585,40.6035,785.88935,54.8698,840.75915,70.48475,911.2439,19.45128,930.69518,176.2895,1106.98468,-1106.98468,-,
Eddie ANDERSON (Ind),384,8.8479,392.8479,29.14675,421.99465,11.5069,433.50155,19.0138,452.51535,148.26105,600.7764,55.9462,656.7226,23.19441,679.91701,-679.91701,-,,-,
Cameron GLASGOW (Grn),328,32.4423,360.4423,20.7829,381.2252,4.8346,386.0598,38.1761,424.2359,18.6554,442.8913,-442.8913,-,,-,,-,,-,
Eddie MILLAR (Ind),323,10.1587,333.1587,13.43285,346.59155,15,361.59155,11.0138,372.60535,-372.60535,-,,-,,-,,-,,-,
Caron LINDSAY (LD),167,3.9324,170.9324,18.50185,189.43425,5.76035,195.1946,-195.1946,-,,-,,-,,-,,-,,-,
Margaret HAMILTON (ScFam),80,2.2939,82.2939,4.30865,86.60255,-86.60255,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,22.3032,22.3032,34.4726,56.7758,20.57805,77.35385,39.2006,116.55445,65.27485,181.8293,125.1313,306.9606,72.56533,379.52593,403.25062,782.77655,856.29365,1639.0702,
Totals,7566,,7566,,7566,,7566,,7566,,7566,,7566,,7566,,7566,,7566,
 ,,,,,,,,,,,,,,,,,,,,
