Election for,West Lothian 2022 - Ward 5 - East Livingston and East Calder,,,,,,,,,,,,,,,
Date,15 Oct 2024,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,
Valid votes,6587,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1318,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Carl JOHN (SNP),,Ruth HUTCHISON (ScFam),,Robert Durie HOWDEN (LD),,Andy RAFFERTY (Lab),,Danny LOGUE (Lab),,Thomas George ULLATHORNE (SNP),,Frank ANDERSON (Ind),,
Carl JOHN (SNP),1741,-423,1318,,1318,,1318,,1318,,1318,,1318,,1318,Elected
Damian DORAN-TIMSON (C),1205,7.53176,1212.53176,26,1238.53176,40.48592,1279.01768,9.24296,1288.26064,22.02444,1310.28508,6.48592,1316.771,59.81584,1376.58684,Elected
Danny LOGUE (Lab),1079,15.7924,1094.7924,11.24296,1106.03536,57.48592,1163.52128,273.97184,1437.49312,-119.49312,1318,,1318,,1318,Elected
Veronica SMITH (SNP),622,284.99208,906.99208,8.24296,915.23504,11.97184,927.20688,8.94368,936.15056,9.45916,945.60972,341.83899,1287.44871,211.59448,1499.04319,Elected
Frank ANDERSON (Ind),497,10.69024,507.69024,11,518.69024,20.48592,539.17616,3.24296,542.41912,8.35238,550.7715,32.48592,583.25742,-583.25742,-,
Neal DRUMMOND (Grn),436,38.14472,474.14472,4.24296,478.38768,55.70072,534.0884,7.48592,541.57432,18.27932,559.85364,24.92192,584.77556,101.18408,685.95964,
Thomas George ULLATHORNE (SNP),390,36.20104,426.20104,,426.20104,1.24296,427.444,5.97184,433.41584,1.76571,435.18155,-435.18155,-,,-,
Andy RAFFERTY (Lab),312,5.83104,317.83104,1,318.83104,11.24296,330.074,-330.074,-,,-,,-,,-,
Robert Durie HOWDEN (LD),218,5.58808,223.58808,6,229.58808,-229.58808,-,,-,,-,,-,,-,
Ruth HUTCHISON (ScFam),87,0.97184,87.97184,-87.97184,-,,-,,-,,-,,-,,-,
Non-transferable, ,17.2568,17.2568,20.24296,37.49976,30.97184,68.4716,21.2148,89.6864,59.61211,149.29851,29.4488,178.74731,210.66302,389.41033,
Totals,6587,,6587,,6587,,6587,,6587,,6587,,6587,,6587,
 ,,,,,,,,,,,,,,,,
