Election for,West Lothian 2022 - Ward 6 ‐ Fauldhouse and the Breich Valley,,,,,,,,,,,,,
Date,15 Oct 2024,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,
Valid votes,5072,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1269,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,
Candidates,Preferences,Pauline CLARK (SNP),,Hani MOHAMED (Alba),,Gillian PATTLE (LD),,Neil BARNES (Grn),,Elaine FAIRBAIRN (C),,Cathy MULDOON (Lab),,
Pauline CLARK (SNP),1292,-23,1269,,1269,,1269,,1269,,1269,,1269,Elected
Cathy MULDOON (Lab),1113,0.9078,1113.9078,9.0534,1122.9612,35.0356,1157.9968,44.0712,1202.068,161.0534,1363.1214,-94.1214,1269,Elected
Craig MEEK (Lab),924,0.5874,924.5874,5,929.5874,18,947.5874,27.0712,974.6586,244.0356,1218.6942,75.96108,1294.65528,Elected
Elaine FAIRBAIRN (C),718,0.178,718.178,2,720.178,20.0178,740.1958,14,754.1958,-754.1958,-,,-,
Greg MCCARRA (SNP),652,18.7256,670.7256,22.089,692.8146,7.0356,699.8502,77.9434,777.7936,23.089,800.8826,3.48128,804.36388,
Neil BARNES (Grn),185,1.2282,186.2282,11.0356,197.2638,19.0356,216.2994,-216.2994,-,,-,,-,
Gillian PATTLE (LD),118,0.1246,118.1246,9,127.1246,-127.1246,-,,-,,-,,-,
Hani MOHAMED (Alba),70,0.2492,70.2492,-70.2492,-,,-,,-,,-,,-,
Non-transferable, ,0.9992,0.9992,12.0712,13.0704,28,41.0704,53.2136,94.284,326.0178,420.3018,14.67904,434.98084,
Totals,5072,,5072,,5072,,5072,,5072,,5072,,5072,
