Election for,West Lothian 2022 - Ward 7 - Whitburn and Blackburn,,,,,,,,,,,
Date,15 Oct 2024,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,
Valid votes,6136,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1228,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,JIM DICKSON (SNP),,George PAUL (Lab),,Derek Graham PATTLE (LD),,Carole RACIONZER (Grn),,Bruce FAIRBAIRN (C),,
JIM DICKSON (SNP),1734,-506,1228,,1228,,1228,,1228,,1228,Elected
George PAUL (Lab),1237,,1237,-9,1228,,1228,,1228,,1228,Elected
Bruce FAIRBAIRN (C),1135,3.50172,1138.50172,0.48709,1138.98881,36.04362,1175.03243,12.30635,1187.33878,-1187.33878,-,
Kirsteen SULLIVAN (Lab),1056,12.54783,1068.54783,7.08098,1075.62881,45.99175,1121.62056,67.57537,1189.19593,557.70623,1746.90216,Elected
MARY ROBERSTON DICKSON (SNP),636,449.09559,1085.09559,0.21083,1085.30642,10.18905,1095.49547,100.05338,1195.54885,34.91905,1230.4679,Elected
Carole RACIONZER (Grn),190,13.42326,203.42326,0.19629,203.61955,27.50994,231.12949,-231.12949,-,,-,
Derek Graham PATTLE (LD),148,4.08534,152.08534,0.27626,152.3616,-152.3616,-,,-,,-,
Non-transferable, ,23.34626,23.34626,0.74855,24.09481,32.62724,56.72205,51.19439,107.91644,594.7135,702.62994,
Totals,6136,,6136,,6136,,6136,,6136,,6136,
