"Council","Ward","Defending","Outgoing councillor","Cause","Polling","Remarks"
"Shepway","New Romney","C","Peter Simmons","Resignation","2017-07-20",
"Manchester","Fallowfield","Lab","Mike Amesbury MP","Resignation","2017-07-27",
"N Dorset","Blandford C","Ind","Esme Butler","Death","2017-07-27",
"W Lindsey","Scotter/Blyton","C","Adam Duguid","Resignation","2017-07-27",
"Charnwood","Loughborough Shelthorpe","Lab","Robert Sharp","Resignation","2017-08-03",
"KLWN","St Margarets with St Nicholas","Lab ","Claire Kittow","Resignation","2017-08-03",
"Sevenoaks","Penshurst, Fordcombe and Chiddingstone","C","Paddy Cooke","Death","2017-08-03",
"Swale","Milton Regis","UKIP","Katy Coleman","Death","2017-08-03",
"Thanet","Margate C","UKIP","Jeffrey Elenor","Resignation","2017-08-03","Sitting as Ind"
"Worthing","Marine","C","Joan Bradley","Resignation","2017-08-03",
"Aylesbury Vale","Riverside","C","Nick Lewis","Resignation","2017-08-17",
"Aylesbury Vale","Southcourt","LD","Peter Agoro","Resignation","2017-08-17",
"Forest Heath","St Mary's","C","Bill Sadler","Death","2017-08-17",
"Peterborough","Park","Lab","John Shearman","Resignation","2017-08-17",
"St Edmundsbury","Chedburgh","C","Angela Rushen","Death","2017-08-17",
"N Lanarks","Fortissat","C","Sandy Thornton","Resignation","2017-09-07",
"Aberdeenshire","Inverurie/District","C","Colin Clark MP","Resignation","Not yet called",
"Adur","Mash Barn","UKIP","David Lambourne","Resignation","Not yet called",
"Babergh","Sudbury S","C","David Holland","Resignation","Not yet called",
"Cannock Chase","Hednesford Grn Heath","C","Graham Burnet","Death","Not yet called",
"Chesterfield","Holmebrook","Lab","Stephen Hitchin","Resignation","Not yet called",
"Croydon","S Norwood","Lab","Kathy Bee","Resignation","Not yet called",
"Darlington","Eastbourne","Lab","Roddy Francis","Resignation","Not yet called",
"Durham","Trimdon/Thornley","Lab","Morris Nicholls","Death","Not yet called",
"E Cambs","Ely S","C","Tom Hunt","Resignation","Not yet called",
"Glasgow","Cardonald","Lab","Alistair Watson","Death","Not yet called",
"Harrogate","Washburn","C","Christine Ryder","Resignation","Not yet called",
"Lancaster","Skerton W","Lab","Karen Leytham","Resignation","Not yet called",
"Lewes","Ouse Vy/Ringmer","C","Paul Gander","Death","Not yet called",
"N Somerset","Weston-super-Mare N Worle","NSom1st","Derek Mead","Death","Not yet called",
"Peterborough","Eye/Thorney/Newborough","C","David Sanders","Resignation","Not yet called",
"S Holland","Whaplode/Holbeach St John's","C","Mike Pullen","Death","Not yet called",
"Salford","Claremont","Lab","Joe Murphy","Death","Not yet called",
"Scarborough","Mulgrave","C","Marie Harland","Disqualification","Not yet called","Non-attendance"
"Staffs CC","Hednesford/Rawnsley","C","Graham Burnet","Death","Not yet called",
"Warwick","Stoneleigh/Cubbington","C","Nick Harrington","Resignation","Not yet called","Twitter"
"Waveney","Oulton Broad","C","Colin Law","Death","Not yet called",
"Wyre","Rossall","Lab","Ted Taylor","Death","Not yet called",
