"Polling","Council","Ward","Defending","Outgoing councillor","Cause","Remarks","Prev results","C cand","Lab cand","LD cand","Grn cand","UKIP cand","SNP/PC cand","Other cand"
"2019-05-09","E Lothian","Haddington/Lammermuir","C","Brian Small","Resignation",,"tinyurl.com/y425uf9g","Craig Hoy","Neal Black","Stuart Crawford",,"David Sisson","Lorraine Glass",
"2019-05-09","Havering","Cranham","Upminster/Cranham Res Assoc","Clarence Barrett","Death",,"andrewteale.me.uk/i198","Ben Sewell","Adam Curtis","Thomas Clarke","Peter Caton","Ben Buckland",,"Linda van den Hende (Upminster and Cranham Residents Assoc)"
"2019-05-23","Gwynedd","Morfa Nefyn","PC","Siân Wyn Hughes","Resignation","Unopposed","andrewteale.me.uk/i11900",,,,,,"Gareth Jones",
"2019-05-23","Isles of Scilly","St Mary's","Ind","Ted Moulson","Resignation",,"andrewteale.me.uk/i2749",,,,,,,"Andrew Coombes (Ind), Tim Dean (Ind), Jeanette Ware (Ind), Steve Whomersley (Ind)"
"2019-05-23","Neath Port Talbot","Resolven","Lab","Des Davies","Death",,"andrewteale.me.uk/i11410","Jonathan Jones","Mark Francis","Sheila Kingston-Jones",,,"Andrew Hipsley","Dean Lewis (Ind)"
"2019-05-23","Tendring","St Osyth","-","-","Postponed poll","Death of candidate Anita Bailey (C)","New ward","Dawn Skeels/Mick Skeels","Tracey Osben",,,,,"Michael Talbot (Ind), John White (Ind)"
"2019-05-30","Gosport","Brockhurst","LD","Austin Hicks","Death",,"andrewteale.me.uk/i4195","Pecs Uluiviti","Kirsty Smillie","Siobhan Mitchell",,,,"Simon Bellord (British Union and Sovereignty Party)"
"2019-06-06","Herefs","Ross N","C","-","Postponed poll","Death of candidate Gareth Williams (UKIP)","andrewteale.me.uk/i17017",,,,,,,
"2019-06-06","S Staffs","Wombourne SW","C","Mary Bond","Death","Postpnoed poll","andrewteale.me.uk/i5164",,,,,,,
"2019-06-13","N Devon","Chittlehampton","Ind","Walter White","Death","Postpnoed poll","andrewteale.me.uk/i8857",,,,,,,
"2019-06-20","Forest of Dean","Newent/Taynton","-","-","Postponed poll","Death of candidate David Humphreys (Grn)","New ward",,,,,,,
"Not yet called","Broxtowe","Stapleford SE","C","Chris Rice","Death","Postpnoed poll","andrewteale.me.uk/i17567",,,,,,,
"Not yet called","Ceredigion","Llanbadarn Fawr Sulien","PC","Paul James","Death",,"andrewteale.me.uk/i11631",,,,,,,
"Not yet called","House of Commons","Peterborough","Lab","Fiona Onasanya","Recall",,,,,,,,,
"Not yet called","Isle of Wight","Whippingham/Osborne","Lab","Julia Baker-Smith","Resignation","Elected as Ind","andrewteale.me.uk/i2088",,,,,,,
"Not yet called","N Kesteven","Billinghay/Martin/N Kyme","NA","NA","NA","Insufficient nominations in ordinary election","andrewteale.me.uk/i7974",,,,,,,
"Not yet called","Neath Port Talbot","Pelenna","ind","Martin Ellis","Death",,"andrewteale.me.uk/i11407",,,,,,,
"Not yet called","S Ribble","Farington W","C","Graham Walton","Death","Postpnoed poll","andrewteale.me.uk/i17378",,,,,,,
"Not yet called","Salford","Walkden S","C","-","Postponed poll","Death of candidate Andrew Darlington (C)","andrewteale.me.uk/i749",,,,,,,
"Not yet called","Wandsworth","Furzedown","Lab","Candida Jones","Resignation","Politically-restricted post","andrewteale.me.uk/i610",,,,,,,
"Not yet called","Wiltshire","Trowbrdge Drynham","C","Graham Payne","Death",,"tinyurl.com/y28sq2ql",,,,,,,
