"Polling","Council","Ward","ID","Defending","Outgoing councillor","Cause","Remarks","Prev results","C cand","Lab cand","LD cand","Grn cand","SNP/PC cand","Other cand"
"2021-11-18","Canterbury","Gorrell",17445,"Lab","George Caffery","Resignation",,"andrewteale.me.uk/ix9r","Stephen Spencer","Dane Buckman",,"Clare Turnbull",,"Colin Gardner (Workers Party of Britain)"
"2021-11-18","Liverpool","Anfield",862,"Lab","Ros Groves","Death",,"andrewteale.me.uk/ie2a","Alma McGing","Tricia O'Brien","Wiebke Rueterjans","Daryl Hodge",,"Adam Heatherington (Ind), Jimmy Richardson (Lib)"
"2021-11-18","Liverpool","Clubmoor",867,"Lab","Tim Jeeves","Death",,"andrewteale.me.uk/ik2a","Wendy Hine","Matthew Smyth","Steve Fitzsimmons","Peter Cranie",,"Liam Buckley (Lib), Ann Walsh (TUSC), Laura-Jayne Wharton (Ind)"
"2021-11-18","Liverpool","Kirkdale",875,"Lab","Malcolm Kennedy","Resignation",,"andrewteale.me.uk/it2a","Kate Burgess","Dave Hanratty","Jenny Turner","Maria Coughlan",,"Roger Bannister (TUSC), Peter Furmedge (Ind)"
"2021-11-18","Manchester","Chorlton",19558,"Lab","Matt Strong","Resignation",,"andrewteale.me.uk/iy7t","Kathleen Fitzgibbon","Mathew Benham","Rosie Hughes","Simon Milner-Edwards",,"Paul Harnett (Ind), Jo Heathcote (Women's Equality)"
"2021-11-18","Ryedale","Cropton",8262,"Lib","John Clark","Death",,"andrewteale.me.uk/invh","Greg White","Jill Wells",,"Richard McLane",,"Alasdair Clark (Lib)"
"2021-11-18","S Ribble","Bamber Bridge E",17369,"Lab","Christine Melia","Death",,"andrewteale.me.uk/im7r","Matthew Forshaw","Patricia Hunter",,"Rachel Knowles",,
"2021-11-18","Tewkesbury","Brockworth E",20028,"Ind","Sara Stevens","Resignation",,"tinyurl.com/3x93h459","Ronald Furolo","Joseph Ambrose","Gilbert Yates",,,"Charlotte Mills (Ind)"
"2021-11-18","W Devon","Bere Ferrers",17571,"LD","Charles Musgrave","Resignation",,"andrewteale.me.uk/ires","Angela Blackman","Isabel Saxby","Graham Reed","Judy Maciejowska",,
"2021-11-25","Allerdale","Maryport S",19542,"Ind","Peter Little","Disqualification","Prison","andrewteale.me.uk/ig7t","Steve Newton","Bill Pegram",,,,"Eric Galletly (Ind)"
"2021-11-25","Basildon","Lee Chapel N",17424,"Lab","Kayode Adeniran","Resignation",,"andrewteale.me.uk/ibqd","Deepak Shukla","Terry Webb","Michael Chandler",,,"Frank Ferguson (Reform UK), Kay Quested (Basildon Community Residents Party)"
"2021-11-25","Halton","Halton Castle",21374,"Lab","Harry Howard","Death",,"andrewteale.me.uk/izwv","Danny Clarke","Sharon Thornton","Anthony Dalton","Iain Ferguson",,"Darrin Whyte (Ind)"
"2021-11-25","Hambleton","Raskelf/White Horse",17039,"C","Jill Mortimer MP","Resignation",,"andrewteale.me.uk/imxr","Philippa James",,"Neil Beckwith","Adam Harper",,
"2021-11-25","Lancaster","Carnforth/Millhead",16650,"Ind","John Reynolds","Resignation","Elected as Lab","andrewteale.me.uk/iukr","Stuart Bateson","Luke Taylor","Tony Saville","Patrick McMurray",,
