Polling,Council,ID,Ward,ID,Defending,Outgoing councillor,Cause,Remarks,Prev results,C cand,Lab cand,LD cand,Grn cand,RUK cand,SNP/PC cand,Other cand
2026-05-28,Swansea,410,Fairwood,22374,C,Paxton Hood-Williams,Death,,andrewteale.me.uk/i9tw,David Helliwell,Nigel Evans,Beth Rowe,,Stephen Taylor,,"Paul Dennis (Ind), Matthew Ward (Ind)"
2026-06-04,City of London,459,Coleman St,12936,Ind,Sushil Saluja,Aldermanic,,andrewteale.me.uk/i94m,,,,,,,"Randall Anderson, Philip Baldwin, Ronnie Barker, Richard Fenner, John Griffiths, Suyi Opebiyi, Alpa Raja, Andrew Tyler"
2026-06-04,Westmorland/Furness,472,Hawcoat/Newbarns,23633,C,Niyall Phillips,Resignation,,andrewteale.me.uk/ifzx,Marco Fawcett,Mike Leach,Stephen Pickthall,Rebekah Atkinson,Hazel Edwards,,
2026-06-11,Ches W/Chester,120,Christleton/Huntington,20349,C,Stuart Parker,Death,,andrewteale.me.uk/ixyu,Stephen Mosley,Fran Riley,Chris Ward,Steve Davies,Martin Kemp,,
2026-06-11,Dacorum,227,Apsley/Corner Hall,3088,LD,Toni Cox,Resignation,Now Ind,andrewteale.me.uk/iv3c,Hubert Wilson,Bailey Hewitt,Hugo Hardy,Connor Manship,Andrew Garnett,,Eric Johnson (Ind)
2026-06-11,Slough,94,Cippenham Green,24647,C,Robert Stedmond,Resignation,,andrewteale.me.uk/i5wy,Raja Fayyaz,Preston Brooker,Jen Simpson,Chloe Hart,Christina Mahboob,,
2026-06-18,Bradford,64,Idle/Thackley,25982,-,(New ward – 3 seats),Postponed poll,Death of candidate Jeanette Sunderland (LD),andrewteale.me.uk/im4z,,,,,,,
2026-06-18,Bury,34,Moorside,23392,Lab,Sandra Walmsley,Postponed poll,Death of candidate Victor Hagan (RUK),andrewteale.me.uk/i4rx,,,,,,,
2026-06-18,Conwy,422,Gogarth Mostyn,22852,C,Louise Emery MS,Resignation,Clwyd (RUK),andrewteale.me.uk/is8w,,,,,,,
2026-06-18,Conwy,422,Tudno,22866,C,Thomas Montgomery MS,Resignation,Clwyd (RUK),andrewteale.me.uk/i68w,,,,,,,
